;3;2.5;;;6;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;11;11
;INPUT BLOCK;;;;;;OUTPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CID;SST Verd. Temp;SDT Kond. Temperatur;Value Power;SSH Superheat;LLT Leaving Liquid Temp;tapp T approach Economizer;ENTROPY_SUCTION;SPEED_SOUND;DENSITY_SUCTION;ENTHALPY_LIQUID_CONDENSER_EXIT;ENTHALPY_DISCHARGE_ISENTROPIC;ENTHALPY_SUCTION;SPEED_COMPRESSOR;MASS_FLOW_RATE_EVAPORATOR;MASS_FLOW_RATE_MOTOR_COOLING;COEFFICIENT_OF_PERFORMANCE;POWER_INPUT_ELECTRICAL;CAPACITY_EVAPORATOR;TEMPERATURE_SUCT_SAT;TEMPERATURE_DISCH_SAT;TEMPERATURE_SUCT_SUPER_HEAT;TEMPERATURE_CONDENSER_LIQUID_LEAVING;PRESSURE_SUCT_ABSOLUTE;PRESSURE_DISCH_ABSOLUTE;TEMPERATURE_DISCH;PRESSURE_RATIO;POWER_FACTOR;IGV_ANGLE;INPUT_CURRENT;ECON_SAT_TEMP;ECON_INTERSTAGE_P;ECON_CAPACITY;ECON_MASS_FLOW;TEMPERATURE_ECO_LIQUID_LEAVING;ENTHALPY_LIQUID_ECO_EXIT;TOLERANCE;POWER_INPUT_ELECTRICAL;POWER_INPUT_ELECTRICAL
CID=-636537935;-18;42.5;0;4;36.5;7.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-636537776;-18;45;0;4;39;7.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-636537873;-18;47.5;0;4;41.5;8.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-636537970;-18;50;0;4;44;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-636538059;-18;52.5;0;4;46.5;9.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-636537900;-18;55;0;4;49;9.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-636537997;-18;57.5;0;4;51.5;10.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-636538094;-18;60;0;4;54;10.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-636538183;-18;62.5;0;4;56.5;11.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-636538024;-18;65;0;4;59;11.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=992928184;-18;67.5;0;4;61.5;12.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=992928343;-18;70;0;4;64;12.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=992928246;-15;-5;0;4;-10;0;0.780912623;139.7222318;6.578452783;11.43851413;209.0164354;201.5939393;18392.1631;0.255987033;0.00668234;11.24114243;4.330282572;48.67732317;-15;-5;4;-10;120.0066092;179.358072;4.356447013;1.494568284;0.637764038;87.90362388;10.31601551;0;0;0;0;0;0;10;3.819395102;4.330282572
CID=992928149;-15;-2.5;0;4;-8.5;0;0.780912623;139.7222318;6.578452783;13.37041384;210.797989;201.5939393;19056.3892;0.282104037;0.006625797;10.14282281;5.235092574;53.09861635;-15;-2.5;4;-8.5;120.0066092;197.2508032;7.29777659;1.643666167;0.648534072;110;12.26442932;0;0;0;0;0;0;5;3.809247077;8.6947214
CID=992928060;-15;0;0;4;-6;0;0.780912623;139.7222318;6.578452783;16.6012903;212.5503676;201.5939393;20149.99491;0.296536076;0.006785516;9.136478953;6.004172333;54.85699415;-15;0;4;-6;120.0066092;216.4944088;9.878424092;1.804020714;0.657364745;110;13.87722137;0;0;0;0;0;0;5;4.430698345;11.03289685
CID=992928219;-15;2.5;0;4;-3.5;0;0.780912623;139.7222318;6.578452783;19.8464382;214.2738034;201.5939393;21689.23136;0.339834816;0.007155707;8.210878158;7.522231783;61.76412865;-15;2.5;4;-3.5;120.0066092;237.1557572;12.94189099;1.976189135;0.673961101;110;16.95772767;0;0;0;0;0;0;5;5.286730382;13.70494552
CID=992928122;-15;5;0;4;-1;0;0.780912623;139.7222318;6.578452783;23.10639872;215.9685303;201.5939393;23002.3501;0.378406808;0.007638577;7.465223343;9.047405209;67.54090056;-15;5;4;-1;120.0066092;259.3030423;15.6716003;2.16073968;0.689579202;110;19.9340555;0;0;0;0;0;0;5;6.182272166;16.19561952
