;Step SST;Step SDT;Percent Power;;Subcooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;2.5;0;;6;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;11;11
;INPUT BLOCK;;;;;;OUTPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CID;SST Verd. Temp;SDT Kond. Temperatur;Value Power;SSH Superheat;LLT Leaving Liquid Temp;tapp T approach Economizer;ENTROPY_SUCTION;SPEED_SOUND;DENSITY_SUCTION;ENTHALPY_LIQUID_CONDENSER_EXIT;ENTHALPY_DISCHARGE_ISENTROPIC;ENTHALPY_SUCTION;SPEED_COMPRESSOR;MASS_FLOW_RATE_EVAPORATOR;MASS_FLOW_RATE_MOTOR_COOLING;COEFFICIENT_OF_PERFORMANCE;POWER_INPUT_ELECTRICAL;CAPACITY_EVAPORATOR;TEMPERATURE_SUCT_SAT;TEMPERATURE_DISCH_SAT;TEMPERATURE_SUCT_SUPER_HEAT;TEMPERATURE_CONDENSER_LIQUID_LEAVING;PRESSURE_SUCT_ABSOLUTE;PRESSURE_DISCH_ABSOLUTE;TEMPERATURE_DISCH;PRESSURE_RATIO;POWER_FACTOR;IGV_ANGLE;INPUT_CURRENT;ECON_SAT_TEMP;ECON_INTERSTAGE_P;ECON_CAPACITY;ECON_MASS_FLOW;TEMPERATURE_ECO_LIQUID_LEAVING;ENTHALPY_LIQUID_ECO_EXIT;TOLERANCE;POWER_INPUT_ELECTRICAL;POWER_INPUT_ELECTRICAL
CID=-900949051;-18;62.5;0;4;56.5;11.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-900948892;-18;65;0;4;59;11.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-398905984;-18;67.5;0;4;61.5;12.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-398905825;-18;69.99;0;4;63.99;12.798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-398905790;-15;-5;0;4;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-398905887;-15;-2.5;0;4;-8.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-398905860;-15;0;0;4;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-398905701;-15;2.5;0;4;-3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-398905666;-15;5;0;4;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-398905763;-15;7.5;0;4;1.5;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-398906232;-15;10;0;4;4;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-398906073;-15;12.5;0;4;6.5;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=682823195;-15;15;0;4;9;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=682823354;-15;17.5;19.20515925;4;11.5;2.3;1.749912208;148.1061964;8.127938633;203.3491097;417.5513449;392.9623045;29150.30336;0.4234267;0.009941189;4.180504835;19.20516599;80.28728928;-15;17.5;4;11.5;163.9400843;528.7967575;40.84908794;3.225548894;0.771122551;55.7861855;37.83993985;0.153332471;294.4333286;5.326373354;0.027266648;2.453332471;203.3491097;10;19.20515925;50.30394885
CID=682823389;-15;20;22.27983914;4;14;2.8;1.749912208;148.1061964;8.127938633;205.4931993;419.2435367;392.9623045;30364.41552;0.456832913;0.010948974;3.843923781;22.27985315;85.64205736;-15;20;4;14;163.9400843;571.706909;44.6795858;3.487291785;0.789560185;70.30837081;42.87289989;1.236300008;306.146499;6.361885809;0.032821968;4.036300008;205.4931993;10;22.27983914;56.5903176
CID=682823292;-15;22.5;25.44974466;4;16.5;3.3;1.749912208;148.1061964;8.127938633;207.6299286;420.9082324;392.9623045;31138.87791;0.488170323;0.012015426;3.554994821;25.4497602;90.47376572;-15;22.5;4;16.5;163.9400843;617.2018999;48.3734712;3.764801651;0.806181403;56.91883716;47.96303927;2.308660931;318.0945323;7.471583351;0.038850786;5.608660931;207.6299286;10;25.44974466;61.94203644
CID=682823319;-15;25;29.59668947;4;19;3.8;1.749912208;148.1061964;8.127938633;209.7595539;422.5456569;392.9623045;32077.46325;0.536117045;0.013407009;3.318549065;29.59670489;98.21811734;-15;25;4;19;163.9400843;665.3809326;51.80353082;4.058683607;0.824770734;61.82591573;54.5212615;3.370647007;330.2765601;8.959277328;0.046956869;7.170647007;209.7595539;10;29.59668947;62.43444154
CID=682823478;-15;27.5;33.47635468;4;21.5;4.3;1.749912208;148.1061964;8.127938633;211.8823254;424.1560347;392.9623045;32919.61064;0.581126676;0.014754235;3.143423926;33.47636491;105.2304064;-15;27.5;4;21.5;163.9400843;716.3448726;54.58853456;4.369552912;0.83940296;67.38950131;60.59315596;4.422488234;342.6917547;10.54647661;0.055719071;8.722488234;211.8823254;10;33.47635468;62.33364455
CID=682823513;-15;30;39.14848969;4;24;4.8;1.749912208;148.1061964;8.127938633;213.9984875;425.7395938;392.9623045;33446.89465;0.628175783;0.016694858;2.871647698;39.14851254;112.4207359;-15;30;4;24;163.9400843;770.1963031;59.226697;4.698035301;0.856847049;97.4739611;69.41730297;5.464413053;355.3393404;12.33255292;0.065682834;10.26441305;213.9984875;10;39.14848969;61.77953323
CID=682823416;-15;32.5;44.81291256;4;26.5;5.3;1.749912208;148.1061964;8.127938633;216.1082784;427.2965655;392.9623045;34403.20553;0.690271623;0.018683242;2.72415291;44.81294537;122.0773155;-15;32.5;4;26.5;163.9400843;827.0395933;62.08465835;5.044767404;0.870499193;88.66850121;78.21515176;6.496648597;368.2186044;14.59012081;0.078341721;11.7966486;216.1082784;10;44.81291256;62.47003159
CID=682822947;-15;35;52.22685927;4;29;5.8;1.749912208;148.1061964;8.127938633;218.2119299;428.8271845;392.9623045;35030.87426;0.917602282;0.021360105;3.056101763;52.46924185;160.3513425;-15;35;4;29;163.9400843;886.9809836;56.97737009;5.410397266;0.884384953;108.0498028;90.14034587;7.51942096;381.3289095;20.71994323;0.112173893;13.31942096;218.2119299;10;52.22685927;63.29539751
CID=682823106;-15;37.5;60.56919882;4;31.5;6.3;1.749912208;148.1061964;8.127938633;220.3096673;430.3316884;392.9623045;35965.12755;1.035133741;0.024248769;2.950651153;60.56919675;178.7185702;-15;37.5;4;31.5;163.9400843;950.1286888;58.94898826;5.795584973;0.89485975;108.8616335;102.8377618;8.53295552;394.6697066;24.98687217;0.136401339;14.83295552;220.3096673;10;60.56919882;60.90952246
CID=-2014627402;-15;40;0;4;34;6.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-2014627243;-15;42.5;0;4;36.5;7.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-2014627208;-15;45;0;4;39;7.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-2014627305;-15;47.5;0;4;41.5;8.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-2014627278;-15;50;0;4;44;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-2014627119;-15;52.5;0;4;46.5;9.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-2014627084;-15;55;0;4;49;9.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-2014627181;-15;57.5;0;4;51.5;10.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-2014627650;-15;60;0;4;54;10.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-2014627491;-15;62.5;0;4;56.5;11.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-932898223;-15;65;0;4;59;11.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-932898064;-15;67.5;0;4;61.5;12.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-932898029;-15;69.99;0;4;63.99;12.798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-932898126;-12;-5;0;4;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-932898099;-12;-2.5;0;4;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-932897940;-12;0;0;4;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-932897905;-12;2.5;0;4;-3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-932898002;-12;5;0;4;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-932898471;-12;7.5;0;4;1.5;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-932898312;-12;10;0;4;4;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-303057724;-12;12.5;0;4;6.5;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-303057565;-12;15;14.52722776;4;9;1.8;1.747637729;148.2918459;9.127317106;203.4626873;415.1561167;394.8346401;26148.25091;0.381372777;0.008543025;5.023945598;14.52723792;72.98405302;-12;15;4;9;185.2441558;488.3738644;35.5689179;2.636379335;0.737951272;66.50778578;29.90963682;0.744124303;300.7796606;3.409216098;0.017431802;2.544124303;203.4626873;10;14.52722776;40.66775891
CID=-303057530;-12;17.5;17.07013735;4;11.5;2.3;1.747637729;148.2918459;9.127317106;205.6426825;416.8697193;394.8346401;27273.44365;0.417000438;0.009354793;4.621702547;17.07014424;78.89312912;-12;17.5;4;11.5;185.2441558;528.7967575;39.0640766;2.85459347;0.756807675;92.69140974;34.26947407;1.853478302;312.9800456;4.262306491;0.021966278;4.153478302;205.6426825;10;17.07013735;47.56096536
CID=-303057627;-12;20;19.88313778;4;14;2.8;1.747637729;148.2918459;9.127317106;207.8151402;418.5556531;394.8346401;28500.85729;0.455359907;0.010275853;4.283082855;19.88315074;85.16118206;-12;20;4;14;185.2441558;571.706909;42.38747705;3.086234524;0.77540017;66.6214729;38.95965383;2.951891104;325.431043;5.251519542;0.027280462;5.751891104;207.8151402;10;19.88313778;52.61549853
CID=-303057600;-12;22.5;22.94298002;4;16.5;3.3;1.747637729;148.2918459;9.127317106;209.980325;420.2141361;394.8346401;29439.12762;0.490289424;0.011300508;3.950317582;22.94299478;90.63211566;-12;22.5;4;16.5;185.2441558;617.2018999;45.97853254;3.331829267;0.793227158;62.56620796;43.9448825;4.039597395;338.1316976;6.313623351;0.033062225;7.339597395;209.980325;10;22.94298002;59.84037332
CID=-303057441;-12;25;26.30707757;4;19;3.8;1.747637729;148.2918459;9.127317106;212.1384959;421.8453762;394.8346401;30834.16019;0.523838759;0.012447748;3.637928247;26.30709432;95.70332152;-12;25;4;19;185.2441558;665.3809326;49.74732591;3.591913222;0.810300966;54.28255549;49.32672721;5.116829976;351.0810863;7.467661781;0.039423689;8.916829976;212.1384959;10;26.30707757;66.65299001
CID=-303057406;-12;27.5;30.34151905;4;21.5;4.3;1.747637729;148.2918459;9.127317106;214.2899057;423.4495985;394.8346401;31481.49399;0.574942886;0.013833218;3.421149933;30.34152631;103.8029107;-12;27.5;4;21.5;185.2441558;716.3448726;52.75570058;3.867030889;0.827772349;61.27453492;55.69064973;6.183819938;364.2783293;9.003203136;0.047920599;10.48381994;214.2899057;10;30.34151905;69.67200288
