;Step SST;Step SDT;Percent Power;;Subcooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;2.5;;;6;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;11;11
;INPUT BLOCK;;;;;;OUTPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CID;SST Verd. Temp;SDT Kond. Temperatur;Value Power;SSH Superheat;LLT Leaving Liquid Temp;tapp T approach Economizer;ENTROPY_SUCTION;SPEED_SOUND;DENSITY_SUCTION;ENTHALPY_LIQUID_CONDENSER_EXIT;ENTHALPY_DISCHARGE_ISENTROPIC;ENTHALPY_SUCTION;SPEED_COMPRESSOR;MASS_FLOW_RATE_EVAPORATOR;MASS_FLOW_RATE_MOTOR_COOLING;COEFFICIENT_OF_PERFORMANCE;POWER_INPUT_ELECTRICAL;CAPACITY_EVAPORATOR;TEMPERATURE_SUCT_SAT;TEMPERATURE_DISCH_SAT;TEMPERATURE_SUCT_SUPER_HEAT;TEMPERATURE_CONDENSER_LIQUID_LEAVING;PRESSURE_SUCT_ABSOLUTE;PRESSURE_DISCH_ABSOLUTE;TEMPERATURE_DISCH;PRESSURE_RATIO;POWER_FACTOR;IGV_ANGLE;INPUT_CURRENT;ECON_SAT_TEMP;ECON_INTERSTAGE_P;ECON_CAPACITY;ECON_MASS_FLOW;TEMPERATURE_ECO_LIQUID_LEAVING;ENTHALPY_LIQUID_ECO_EXIT;TOLERANCE;POWER_INPUT_ELECTRICAL;POWER_INPUT_ELECTRICAL
CID=1413902645;-17.9;62.5;0;4;56.5;11.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1413902676;-17.9;65;0;4;59;11.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-362667836;-17.9;67.5;0;4;61.5;12.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-362667805;-17.9;69.99;0;4;63.99;12.798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-362668030;-15;-5;0;4;-10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-362667999;-15;-2.5;0;4;-8.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-362667712;-15;0;0;4;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-362667681;-15;2.5;0;4;-3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-362667906;-15;5;0;4;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-362667875;-15;7.5;0;4;1.5;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-362667588;-15;10;0;4;4;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-362667557;-15;12.5;0;4;6.5;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1607992287;-15;15;0;4;9;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1607992318;-15;17.5;0;4;11.5;2.3;0.780912623;139.7222318;6.578452783;27.66950949;224.019687;201.5939393;28099.59675;0.540773985;0.010719775;4.996016998;18.82575801;94.05380704;-15;17.5;4;11.5;120.0066092;394.8050249;28.86063375;3.289860681;0.768673762;110;37.21055871;0.146782678;217.6676648;6.605908622;0.036512222;2.446782678;27.66950949;5;13.97172652;36.00192662
CID=1607992093;-15;20;0;4;14;2.8;0.780912623;139.7222318;6.578452783;29.75771191;225.54703;201.5939393;29145.19838;0.594769136;0.01187377;4.633762978;22.05613127;102.2028845;-15;20;4;14;120.0066092;427.3713314;31.62639786;3.561231622;0.788299294;110;42.51028107;1.228640135;226.4671816;8.038363375;0.044765821;4.028640135;29.75771191;5;16.12810309;40.33517973
CID=1607992124;-15;22.5;0;4;16.5;3.3;0.780912623;139.7222318;6.578452783;31.83836063;227.0472657;201.5939393;29832.34354;0.607780034;0.012650375;4.297413438;24.00840713;103.1740514;-15;22.5;4;16.5;120.0066092;461.9362892;34.37469386;3.849257074;0.79890394;110;45.65880702;2.29978516;235.4472504;9.026829974;0.050654142;5.59978516;31.83836063;5;18.66840799;42.22260442
CID=1607992411;-15;25;0;4;19;3.8;0.780912623;139.7222318;6.578452783;33.91172671;228.5206102;201.5939393;30596.09217;0.634360444;0.013644675;4.005350786;26.55721522;106.3709629;-15;25;4;19;120.0066092;498.5780826;37.08214989;4.154588536;0.811474479;110;49.72370068;3.360443741;244.6071648;10.28693579;0.058169438;7.160443741;33.91172671;5;21.17613482;42.54431841
CID=1607992442;-15;27.5;0;4;21.5;4.3;0.780912623;139.7222318;6.578452783;35.97807411;229.9672748;201.5939393;31401.80542;0.674482963;0.014883993;3.754055635;29.75584016;111.7050794;-15;27.5;4;21.5;120.0066092;537.3761508;39.69746885;4.477887964;0.825420146;109.9999964;54.7712848;4.41083972;253.9462339;11.87598571;0.067676321;8.71083972;35.97807411;5.000029912;24.4941404;42.60720224
CID=1607992217;-15;30;0;4;24;4.8;0.780912623;139.7222318;6.578452783;38.03766005;231.3874659;201.5939393;32161.59339;0.70086898;0.016072921;3.504956201;32.70555067;114.6315226;-15;30;4;24;120.0066092;578.4112193;42.50360551;4.819828036;0.836686805;109.4000048;59.39013629;5.45119513;263.4637909;13.3405261;0.076617532;10.25119513;38.03766005;9.999964819;28.50201056;42.75509876
CID=1607992248;-15;32.5;0;4;26.5;5.3;0.780912623;139.7222318;6.578452783;40.09073542;232.7813845;201.5939393;33266.33762;0.795009281;0.018444007;3.293311512;38.98706381;128.3965461;-15;32.5;4;26.5;120.0066092;621.7653459;45.24535527;5.181092527;0.856407097;110;69.1665394;6.481730621;273.1592042;16.28186372;0.094249294;11.78173062;40.09073542;5;32.50868739;43.27121207
CID=1607992535;-15;35;0;4;29;5.8;0.780912623;139.7222318;6.578452783;42.13754538;234.1492266;201.5939393;33967.09543;0.848563227;0.020038897;3.156614937;42.86516884;135.3088322;-15;35;4;29;120.0066092;667.521983;47.17645442;5.562376837;0.866174714;110;75.18908735;7.502665971;283.0318882;18.63366201;0.108723254;13.30266597;42.13754538;4.716243943;38.87347994;42.8651703
CID=1607992566;-15;37.5;0;4;31.5;6.3;0.780912623;139.7222318;6.578452783;44.17832995;235.4911823;201.5939393;34087.7014;0.793595342;0.019857767;3.001339199;41.622851;124.9242943;-15;37.5;4;31.5;120.0066092;715.7660593;49.33226495;5.964388664;0.8632212;109.6049912;73.25976191;8.514220643;293.0813159;18.64298739;0.109653431;14.81422064;44.17832995;10;44.0043888;41.62285073
CID=1253053582;-15;40;0;4;34;6.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1253053613;-15;42.5;0;4;36.5;7.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1253053388;-15;45;0;4;39;7.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1253053419;-15;47.5;0;4;41.5;8.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1253053706;-15;50;0;4;44;8.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1253053737;-15;52.5;0;4;46.5;9.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1253053512;-15;55;0;4;49;9.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1253053543;-15;57.5;0;4;51.5;10.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1253053830;-15;60;0;4;54;10.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1253053861;-15;62.5;0;4;56.5;11.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1445851817;-15;65;0;4;59;11.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1445851848;-15;67.5;0;4;61.5;12.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1445851623;-15;69.99;0;4;63.99;12.798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1445851654;-12;-5;0;4;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1445851941;-12;-2.5;0;4;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1445851972;-12;0;0;4;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1445851747;-12;2.5;0;4;-3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1445851778;-12;5;0;4;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1445852065;-12;7.5;0;4;1.5;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1445852096;-12;10;0;4;4;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-458516096;-12;12.5;0;4;6.5;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-458516065;-12;15;0;4;9;1.8;0.780245257;139.9677654;7.397259801;27.78296498;222.2699377;203.6939115;25782.90883;0.51344259;0.009457863;5.991110556;15.07569777;90.32017207;-12;15;4;9;135.8927511;364.160422;25.60483993;2.67976341;0.742194437;110;30.8613915;0.739606573;222.4562015;4.45637049;0.024592325;2.539606573;27.78296498;5;10.77362166;29.29981617
CID=-458516290;-12;17.5;0;4;11.5;2.3;0.780245257;139.9677654;7.397259801;29.90626645;223.8230183;203.6939115;26730.28188;0.548865417;0.010238835;5.530308819;17.24786653;95.38602837;-12;17.5;4;11.5;135.8927511;394.8050249;28.20442439;2.905269205;0.758050047;110;34.56951447;1.848039056;231.6271594;5.446488373;0.030286311;4.148039056;29.90626645;5;12.41999523;33.63824145
CID=-458516259;-12;20;0;4;14;2.8;0.780245257;139.9677654;7.397259801;32.02181818;225.3487805;203.6939115;27695.59993;0.594496391;0.011199462;5.128876202;19.89879184;102.0584399;-12;20;4;14;135.8927511;427.3713314;30.786407;3.144916325;0.77549739;110;38.98541345;2.945429587;240.991008;6.65445461;0.037289128;5.745429587;32.02181818;5;14.40460029;37.72569394
CID=-458515972;-12;22.5;0;4;16.5;3.3;0.780245257;139.9677654;7.397259801;34.1298986;226.8474436;203.6939115;28568.07241;0.630621699;0.012180515;4.749700962;22.5131533;106.9307459;-12;22.5;4;16.5;135.8927511;461.9362892;33.47212698;3.39927101;0.790862203;110;43.25051511;4.032007497;250.5469879;7.879318438;0.044496683;7.332007497;34.1298986;5;16.6503346;42.60144887
CID=-458515941;-12;25;0;4;19;3.8;0.780245257;139.9677654;7.397259801;36.2307788;228.3192224;203.6939115;29410.14218;0.670068139;0.013281352;4.417679289;25.40060115;112.2117096;-12;25;4;19;135.8927511;498.5780826;36.11756959;3.668908596;0.805940554;110;47.88469897;5.107999767;260.2943474;9.263296688;0.052723453;8.907999767;36.2307788;5;19.05035685;47.43746086
CID=-458516166;-12;27.5;0;4;21.5;4.3;0.780245257;139.9677654;7.397259801;38.32472269;229.7643272;203.6939115;30282.39339;0.715343267;0.014598049;4.102290682;28.83650744;118.2957358;-12;27.5;4;21.5;135.8927511;537.3761508;38.91303322;3.954413657;0.821606396;110;53.32546161;6.173631289;270.2323509;10.86205983;0.062313284;10.47363129;38.32472269;5;22.07693138;47.80637116
