;Step SST;Step SDT;Percent Power;;Subcooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;2.5;0;;6;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;11;11
;INPUT BLOCK;;;;;;OUTPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CID;SST Verd. Temp;SDT Kond. Temperatur;Value Power;SSH Superheat;LLT Leaving Liquid Temp;tapp T approach Economizer;ENTROPY_SUCTION;SPEED_SOUND;DENSITY_SUCTION;ENTHALPY_LIQUID_CONDENSER_EXIT;ENTHALPY_DISCHARGE_ISENTROPIC;ENTHALPY_SUCTION;SPEED_COMPRESSOR;MASS_FLOW_RATE_EVAPORATOR;MASS_FLOW_RATE_MOTOR_COOLING;COEFFICIENT_OF_PERFORMANCE;POWER_INPUT_ELECTRICAL;CAPACITY_EVAPORATOR;TEMPERATURE_SUCT_SAT;TEMPERATURE_DISCH_SAT;TEMPERATURE_SUCT_SUPER_HEAT;TEMPERATURE_CONDENSER_LIQUID_LEAVING;PRESSURE_SUCT_ABSOLUTE;PRESSURE_DISCH_ABSOLUTE;TEMPERATURE_DISCH;PRESSURE_RATIO;POWER_FACTOR;IGV_ANGLE;INPUT_CURRENT;ECON_SAT_TEMP;ECON_INTERSTAGE_P;ECON_CAPACITY;ECON_MASS_FLOW;TEMPERATURE_ECO_LIQUID_LEAVING;ENTHALPY_LIQUID_ECO_EXIT;TOLERANCE;POWER_INPUT_ELECTRICAL;POWER_INPUT_ELECTRICAL
CID=1877747599;-17.9;22.5;19.3280269;4;16.5;3.3;0.781715935;139.4471244;5.856289337;46.38766355;227.2879752;199.5595704;31025.60372;0.391888924;0.012349803;3.10566385;19.3280331;60.0263737;-17.9;22.5;4;16.5;106.0713003;461.9362892;42.48331247;4.354960183;0.771907039;68.61180052;38.04332222;0;0;0;0;0;0;10;19.3280269;35.54497734
CID=-830932780;-17.9;25;22.56568075;4;19;3.8;0.781715935;139.4471244;5.856289337;49.78650222;228.7632038;199.5595704;31573.45133;0.428292766;0.01380927;2.842665659;22.5656934;64.1467217;-17.9;25;4;19;106.0713003;498.5780826;46.45713866;4.700405117;0.791153625;98.62109189;43.33548252;0;0;0;0;0;0;10;22.56568075;35.27204003
CID=1111584497;-17.9;27.5;25.79274282;4;21.5;4.3;0.781715935;139.4471244;5.856289337;53.20545296;230.2117453;199.5595704;32527.69068;0.472382719;0.015344744;2.680409306;25.79276077;69.13515599;-17.9;27.5;4;21.5;106.0713003;537.3761508;49.09102742;5.066178593;0.807847797;88.66826923;48.50919426;0;0;0;0;0;0;10;25.79274282;35.60351695
CID=1212341046;-17.9;30;30.3203841;4;24;4.8;0.781715935;139.4471244;5.856289337;56.64520143;231.6338074;199.5595704;33147.65407;0.619501698;0.017479692;2.91695833;30.35206;88.53569426;-17.9;30;4;24;106.0713003;578.4112193;45.27520639;5.45304166;0.827814114;107.8316976;55.70717321;0;0;0;0;0;0;10;30.3203841;35.6854827
CID=-1496339333;-17.9;32.5;34.45179709;4;26.5;5.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=89947584;-17.9;35;0;4;29;5.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=2032464861;-17.9;37.5;0;4;31.5;6.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=2133221410;-17.9;40;0;4;34;6.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=190698884;-17.9;42.5;0;4;36.5;7.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=291455433;-17.9;45;0;4;39;7.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
