;Step SST;Step SDT;Percent Power;;Subcooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;2.5;0;;6;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;11;11
;INPUT BLOCK;;;;;;OUTPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CID;SST Verd. Temp;SDT Kond. Temperatur;Value Power;SSH Superheat;LLT Leaving Liquid Temp;tapp T approach Economizer;ENTROPY_SUCTION;SPEED_SOUND;DENSITY_SUCTION;ENTHALPY_LIQUID_CONDENSER_EXIT;ENTHALPY_DISCHARGE_ISENTROPIC;ENTHALPY_SUCTION;SPEED_COMPRESSOR;MASS_FLOW_RATE_EVAPORATOR;MASS_FLOW_RATE_MOTOR_COOLING;COEFFICIENT_OF_PERFORMANCE;POWER_INPUT_ELECTRICAL;CAPACITY_EVAPORATOR;TEMPERATURE_SUCT_SAT;TEMPERATURE_DISCH_SAT;TEMPERATURE_SUCT_SUPER_HEAT;TEMPERATURE_CONDENSER_LIQUID_LEAVING;PRESSURE_SUCT_ABSOLUTE;PRESSURE_DISCH_ABSOLUTE;TEMPERATURE_DISCH;PRESSURE_RATIO;POWER_FACTOR;IGV_ANGLE;INPUT_CURRENT;ECON_SAT_TEMP;ECON_INTERSTAGE_P;ECON_CAPACITY;ECON_MASS_FLOW;TEMPERATURE_ECO_LIQUID_LEAVING;ENTHALPY_LIQUID_ECO_EXIT;TOLERANCE;POWER_INPUT_ELECTRICAL;POWER_INPUT_ELECTRICAL
CID=-143973500;-18;22.5;26.56513326;4;16.5;3.3;1.75236476;147.8756507;7.216881745;222.5675461;421.6584674;391.0779783;32608.80759;0.497446863;0.013580212;3.1554499;26.56514553;83.82498581;-18;22.5;4;16.5;144.6003673;617.2018999;50.46616711;4.268328716;0.81151148;62.69960161;49.73628094;0;0;0;0;0;0;10;26.56513326;51.50683206
CID=-143973659;-18;25;30.96676049;4;19;3.8;1.75236476;147.8756507;7.216881745;226.0632575;423.3025543;391.0779783;33199.91317;0.539852053;0.015345412;2.87674518;30.96678023;89.08353577;-18;25;4;19;144.6003673;665.3809326;55.09261293;4.601516201;0.830218937;85.25275948;56.67078029;0;0;0;0;0;0;10;30.96676049;51.56229566
CID=-143973438;-18;27.5;35.6287136;4;21.5;4.3;1.75236476;147.8756507;7.216881745;229.5812925;424.9195628;391.0779783;34102.73321;0.597099076;0.017285304;2.706510128;35.62873121;96.42952186;-18;27.5;4;21.5;144.6003673;716.3448726;58.20191392;4.953963024;0.846527574;93.27032689;63.94624152;0;0;0;0;0;0;10;35.6287136;51.87185087
CID=-143973341;-18;30;40.96372143;4;24;4.8;1.75236476;147.8756507;7.216881745;233.1225601;426.5097245;391.0779783;35013.89591;0.653032061;0.019556851;2.518079133;40.96374532;103.1499523;-18;30;4;24;144.6003673;770.1963031;61.94376166;5.326378609;0.86158898;88.74379288;72.23626754;0;0;0;0;0;0;10;40.96372143;51.89336479
CID=-143973376;-18;32.5;48.29975797;4;26.5;5.3;1.75236476;147.8756507;7.216881745;236.6880382;428.0732743;391.0779783;35720.96503;0.892696271;0.022665044;2.853499201;48.29975902;137.8233238;-18;32.5;4;26.5;144.6003673;827.0395933;55.58143635;5.719484736;0.877391406;108.6362867;83.63871733;0;0;0;0;0;0;10;48.29975797;51.38903703
CID=-143973535;-18;35;0;4;29;5.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-143973810;-18;37.5;0;4;31.5;6.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-143973713;-18;40;0;4;34;6.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1225702741;-18;42.5;0;4;36.5;7.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1225702644;-18;45;0;4;39;7.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
